"LocationID","CountyName","binX_full","binXstar","LandArea","PopulationDensity","O_POP","Y_DIABETES","binX_partial"
37001020100,"A",0,1,1.7,2243.4,3908,481,NA
37001020200,"A",1,1,1.3,3112.6,4152,681,NA
37001020300,"A",1,1,4.3,1871,8063,1226,NA
37001020400,"A",1,1,4.5,1357.7,6059,1085,NA
37001020501,"A",0,1,2.8,1297,3575,347,NA
37001020502,"A",0,1,2.1,1806.8,3782,507,0
37001020601,"A",1,1,2.2,1496.2,3234,324,1
37001020602,"A",1,1,1.1,2255,2414,242,NA
37001020701,"A",0,1,2.6,1721.4,4519,511,NA
37001020702,"A",1,1,2.9,1622,4742,574,NA
37001020801,"A",0,1,4.6,315.3,1450,172,NA
37001020802,"A",1,1,1.8,3202.6,5857,938,1
37001020901,"A",0,1,3,1177.7,3583,366,NA
37001020902,"A",0,0,4,853.7,3380,362,NA
37001021000,"A",1,1,1.3,2876,3720,651,NA
37001021101,"A",0,0,3.1,855.5,2668,339,NA
37001021102,"A",0,1,4.2,797.3,3318,422,NA
37001021201,"A",1,1,13.6,387.4,5252,767,NA
37001021204,"A",0,0,12.8,333.6,4280,463,NA
37001021205,"A",1,1,4.5,1031.9,4636,432,NA
37001021206,"A",0,1,5,862,4320,376,NA
37001021207,"A",0,1,4.6,675.6,3086,343,NA
37001021300,"A",0,0,52.5,115.5,6057,782,NA
37001021400,"A",0,0,25.4,104.5,2650,289,NA
37001021500,"A",0,0,35.6,131.6,4681,497,NA
37001021600,"A",0,0,12.9,538.6,6934,486,NA
37001021701,"A",0,0,1.6,1979.2,3237,298,NA
37001021702,"A",1,1,2.1,2491.2,5282,444,NA
37001021703,"A",1,1,9,543.4,4866,404,NA
37001021801,"A",0,0,31.3,141.8,4441,445,0
37001021802,"A",0,0,28,126.8,3553,327,NA
37001021803,"A",0,0,36.6,78.7,2879,303,NA
37001021901,"A",0,0,21.4,211.9,4535,445,NA
37001021902,"A",0,0,47.1,93.9,4423,403,NA
37001022001,"A",0,0,11.4,292.3,3319,329,NA
37001022002,"A",0,0,21.2,201.3,4276,492,NA
37033930100,"B",0,0,53.7,45.3,2436,383,NA
37033930200,"B",1,1,91.3,64,5838,870,1
37033930300,"B",0,0,45.1,92.3,4165,579,NA
37033930400,"B",0,0,48.5,54.5,2643,336,0
37033930500,"B",0,0,61.1,63,3847,474,0
37033930600,"B",0,0,125.3,38.2,4790,604,0
37057060101,"C",0,0,4.4,1285.6,5633,412,NA
37057060102,"C",0,0,25.8,279.3,7213,614,0
37057060201,"C",0,0,17.8,276.4,4909,531,NA
37057060202,"C",0,0,3.8,637.9,2424,279,NA
37057060203,"C",0,0,14.7,374.9,5528,515,NA
37057060301,"C",0,0,7.7,588.8,4534,427,NA
37057060302,"C",0,0,6.1,597.4,3620,312,0
37057060303,"C",0,0,19.5,224.7,4372,403,NA
37057060304,"C",0,0,13.4,256.9,3445,331,NA
37057060400,"C",0,0,18.8,294.4,5533,554,0
37057060500,"C",1,1,29.1,189.2,5499,633,NA
37057060601,"C",0,0,6.8,638.6,4342,370,NA
37057060602,"C",0,0,5.2,495.8,2563,244,NA
37057060700,"C",1,1,2.6,1915.6,4915,644,NA
37057060800,"C",0,1,2.6,1755.7,4538,718,0
37057060900,"C",0,0,4.3,1281.7,5471,580,NA
37057061000,"C",1,1,3.1,1644.5,5158,609,NA
37057061100,"C",1,1,12.2,552.7,6744,763,NA
37057061201,"C",1,1,8.8,667.7,5844,813,NA
37057061202,"C",0,0,8.7,330.2,2857,315,NA
37057061300,"C",1,1,1.1,1992.8,2176,257,NA
37057061400,"C",1,1,2.2,1511.5,3398,541,NA
37057061500,"C",0,1,5.6,1109.9,6214,1032,NA
37057061600,"C",0,1,3.2,907.7,2926,396,NA
37057061701,"C",0,0,13.5,361,4857,467,NA
37057061702,"C",0,0,46.4,145.1,6730,788,NA
37057061703,"C",0,0,14.8,294.2,4349,453,NA
37057061802,"C",0,0,30.4,221.4,6740,641,NA
37057061803,"C",0,0,15.2,230.7,3503,368,NA
37057061804,"C",0,0,28.7,227.4,6536,726,NA
37057061901,"C",0,0,22.3,282.1,6301,631,NA
37057061902,"C",0,0,41.8,127,5308,611,NA
37057062001,"C",0,0,80.1,58.4,4677,487,NA
37057062002,"C",1,1,32.2,124.9,4021,499,NA
37059080100,"D",0,0,87.6,88.4,7745,829,0
37059080200,"D",0,0,37.8,137.8,5207,506,NA
37059080300,"D",0,0,27,321,8657,935,0
37059080400,"D",0,0,44.8,114.9,5151,469,0
37059080500,"D",0,0,12.7,349,4428,470,0
37059080600,"D",0,1,20.3,180.4,3659,436,NA
37059080700,"D",0,0,33.9,188.4,6393,761,NA
37067000100,"E",1,1,0.6,3697.6,2052,156,NA
37067000200,"E",0,1,0.6,1876.3,1103,175,NA
37067000301,"E",1,1,0.3,5200.6,1799,402,NA
37067000302,"E",1,1,0.5,3990.1,1859,382,NA
37067000400,"E",1,1,0.8,3886,3251,631,NA
37067000500,"E",1,1,0.6,3796.1,2391,498,NA
37067000600,"E",1,1,0.5,3980.2,2056,484,NA
37067000700,"E",1,1,0.7,2495.9,1764,362,NA
37067000801,"E",1,1,0.8,3845.4,3062,175,NA
37067000802,"E",1,1,0.8,2602.8,2100,265,NA
37067000900,"E",1,1,1.2,2961.9,3508,397,NA
37067001000,"E",1,1,1.1,4219.7,4652,377,NA
37067001100,"E",1,1,0.6,3632.1,2254,210,NA
37067001200,"E",1,1,1.4,1378.7,1959,185,NA
37067001300,"E",0,0,1.6,2784.8,4535,200,NA
37067001400,"E",1,1,2.9,1291.7,3710,590,NA
37067001500,"E",1,1,2.9,1416.6,4095,602,NA
37067001601,"E",0,1,2.4,1542.5,3652,658,NA
37067001602,"E",0,1,1.5,2072.9,3077,588,NA
37067001700,"E",0,0,3.4,1533.5,5231,764,NA
37067001800,"E",1,1,1.9,2210,4207,762,NA
37067001901,"E",1,1,0.6,2585.5,1549,265,NA
37067001902,"E",1,1,0.9,2155.8,1917,221,1
37067002001,"E",1,1,1.1,2173.9,2367,415,NA
37067002002,"E",0,1,1.3,2397.6,3072,437,NA
37067002100,"E",1,1,0.8,2738.2,2151,196,NA
37067002200,"E",1,1,1.7,2175.1,3742,259,NA
37067002501,"E",1,1,1.1,2395.2,2590,190,NA
37067002502,"E",0,1,1.8,1508.7,2770,236,NA
37067002601,"E",0,1,1.9,1331.2,2481,224,NA
37067002603,"E",0,1,3.6,1797.7,6553,564,NA
37067002604,"E",0,1,3.8,1706.1,6441,580,NA
37067002701,"E",1,1,2.2,2713.7,5864,687,NA
37067002702,"E",1,1,2.3,2509.7,5675,812,NA
37067002703,"E",1,1,1.9,3114.7,6039,550,NA
37067002801,"E",0,0,20.6,205.2,4236,403,0
37067002804,"E",0,1,4.9,842.9,4150,474,NA
37067002806,"E",1,1,3.5,928.4,3274,498,NA
37067002807,"E",0,0,11.4,443.2,5031,549,NA
37067002808,"E",0,0,7.6,463.4,3531,325,NA
37067002809,"E",0,0,8.1,275.9,2238,218,NA
37067002901,"E",0,0,14.9,320.8,4784,622,NA
37067002903,"E",0,0,4.8,795.6,3828,517,NA
37067002904,"E",0,0,14,153.3,2151,246,NA
37067003002,"E",0,0,6.3,624,3932,547,NA
37067003003,"E",0,0,6.2,528.3,3272,324,NA
37067003004,"E",0,0,3.2,1135,3618,351,NA
37067003103,"E",0,0,14.1,389.1,5468,427,NA
37067003105,"E",0,0,8,457.7,3649,376,NA
37067003106,"E",0,0,22.2,139.8,3099,289,NA
37067003107,"E",0,0,6.3,694.4,4391,426,NA
37067003108,"E",0,0,3.1,1130.1,3495,451,NA
37067003201,"E",0,1,2.7,1777,4774,516,NA
37067003202,"E",1,1,3.5,1125.5,3904,407,NA
37067003307,"E",1,1,2.8,1237.9,3405,293,NA
37067003308,"E",0,0,5.4,1471.1,7880,615,NA
37067003309,"E",0,1,5.3,930.8,4956,600,NA
37067003310,"E",0,0,2.8,1455,4061,370,NA
37067003311,"E",0,0,2.2,880.5,1926,149,NA
37067003312,"E",0,0,8,336.1,2692,229,NA
37067003313,"E",0,0,5.5,263,1458,177,NA
37067003314,"E",0,0,4.3,736,3171,257,NA
37067003315,"E",0,1,4.3,799.7,3424,336,NA
37067003402,"E",0,0,8,272,2182,225,NA
37067003403,"E",0,0,2.9,1162.4,3412,366,NA
37067003404,"E",1,1,1.8,2182.6,3917,682,NA
37067003500,"E",0,0,6.4,1020.8,6562,919,NA
37067003600,"E",1,1,6.3,941.4,5968,567,NA
37067003701,"E",0,1,2.1,2328.2,4830,474,NA
37067003702,"E",0,0,2.1,2132.4,4514,425,0
37067003703,"E",0,0,4.8,1268.2,6032,447,NA
37067003803,"E",0,0,6,764.4,4567,430,NA
37067003804,"E",0,0,6.1,670.6,4100,390,NA
37067003805,"E",0,1,2.8,1998.5,5573,558,NA
37067003806,"E",0,0,2.8,1064.1,3012,275,0
37067003903,"E",0,1,1.4,3207.1,4477,475,NA
37067003904,"E",0,1,3.4,1755.7,5907,509,NA
37067003905,"E",0,1,1.1,3266.3,3607,303,NA
37067003906,"E",0,0,1.7,2067.3,3436,303,NA
37067003908,"E",0,0,2.1,1451.6,3085,253,NA
37067003909,"E",0,1,1.7,2623.9,4356,340,NA
37067004005,"E",0,1,5.2,911.4,4695,409,NA
37067004007,"E",0,0,22.9,310.8,7104,583,NA
37067004009,"E",0,0,9.2,412.4,3802,320,NA
37067004010,"E",0,1,4.7,725,3392,224,NA
37067004011,"E",0,0,4.2,1348.7,5645,475,NA
37067004012,"E",0,0,3.6,1543.7,5611,472,NA
37067004013,"E",1,1,2.1,1475.2,3083,287,NA
37067004014,"E",1,1,2.6,1177.9,3016,290,NA
37067004015,"E",0,0,6,547,3296,261,NA
37067004102,"E",0,0,15.1,215.9,3256,365,NA
37067004103,"E",0,1,5.4,649.8,3478,320,NA
37067004104,"E",0,1,5.8,587.7,3429,319,NA
37081010100,"F",1,1,0.4,3720.5,1561,253,NA
37081010200,"F",1,1,1.3,3076.5,4070,591,NA
37081010300,"F",1,1,1.2,1992.4,2426,355,NA
37081010401,"F",0,0,0.6,2336.9,1453,105,NA
37081010403,"F",1,1,0.6,2595.1,1594,118,NA
37081010404,"F",0,1,1.2,2050.2,2502,186,NA
37081010500,"F",0,1,1.1,2035.7,2173,161,NA
37081010601,"F",1,1,0.9,3038.2,2780,192,NA
37081010602,"F",1,1,0.7,6278.2,4592,216,NA
37081010701,"F",0,0,0.5,4073.1,1919,108,NA
37081010702,"F",1,1,0.6,6681.4,4307,112,NA
37081010800,"F",1,1,1,2515,2409,241,NA
37081010900,"F",1,1,0.6,3512.5,2001,153,NA
37081011000,"F",0,1,1.2,4132.4,4768,306,NA
37081011101,"F",1,1,1.1,3950.5,4260,712,NA
37081011102,"F",1,1,1.2,2232.3,2602,581,NA
37081011200,"F",0,1,1,5259.2,5391,777,NA
37081011300,"F",0,1,1.6,1807.7,2862,659,0
37081011400,"F",1,1,1,5250.2,5291,1038,NA
37081011500,"F",1,1,0.8,3866.6,2964,389,NA
37081011601,"F",1,1,0.9,2708.8,2453,268,NA
37081011602,"F",0,1,1.2,2454.1,2981,346,NA
37081011904,"F",0,1,1.4,3074.4,4265,359,NA
37081011905,"F",0,0,1.7,3050.9,5077,600,NA
37081012503,"F",1,1,1.4,3003,4176,385,NA
37081012504,"F",1,1,0.9,3637.4,3246,338,NA
37081012505,"F",0,1,1.9,2314.7,4353,344,NA
37081012508,"F",1,1,1.6,2039.2,3289,297,NA
37081012509,"F",0,1,1.2,1877.7,2223,218,NA
37081012510,"F",0,1,1.5,2091.9,3090,260,NA
37081012511,"F",0,0,1.9,2556.7,4961,432,NA
37081012601,"F",1,1,3,1939.4,5912,450,NA
37081012604,"F",0,1,1.8,2670,4908,727,NA
37081012607,"F",0,0,1.2,1879.9,2301,233,NA
37081012608,"F",1,1,0.6,4185,2392,268,NA
37081012609,"F",1,1,2.9,2553.5,7342,882,NA
37081012610,"F",0,1,1,3071.6,3159,417,NA
37081012611,"F",0,1,1.2,3008,3577,408,NA
37081012612,"F",1,1,1.8,3348.8,5947,780,NA
37081012617,"F",1,1,0.8,4113.8,3478,414,NA
37081012703,"F",1,1,1.9,2833.6,5373,511,NA
37081012704,"F",1,1,0.9,3386.3,3214,515,NA
37081012705,"F",0,1,1.3,3104.3,4056,804,0
37081012706,"F",1,1,1,3280.7,3159,601,NA
37081012707,"F",1,1,1,2526.6,2589,451,NA
37081012803,"F",0,0,12.7,599.9,7640,894,NA
37081012804,"F",1,1,2.1,2016.6,4184,595,NA
37081012805,"F",1,1,2.4,1059.6,2545,400,NA
37081013601,"F",0,1,0.6,5241,3092,201,NA
37081013602,"F",1,1,1.2,3517.2,4138,563,NA
37081013700,"F",1,1,1.7,2450.6,4141,381,NA
37081013800,"F",0,1,1.4,3418,4685,937,NA
37081013900,"F",1,1,1.1,4029.1,4509,848,NA
37081014000,"F",0,1,1.4,2250.5,3079,462,NA
37081014200,"F",1,1,1.6,2148.4,3503,571,NA
37081014300,"F",1,1,1.8,1713.9,3045,506,NA
37081014406,"F",0,1,1.8,1311.5,2337,407,NA
37081014407,"F",0,1,3.3,1721,5635,581,NA
37081014408,"F",1,1,1,2330.9,2326,310,NA
37081014409,"F",0,1,1.4,2030.9,2893,301,NA
37081014410,"F",1,1,1.7,2152.5,3591,363,NA
37081014411,"F",0,1,1.4,3539,4806,620,NA
37081014412,"F",0,1,1.7,1524.7,2587,332,NA
37081014501,"F",0,0,2.9,444.2,1300,218,NA
37081014502,"F",1,1,3.4,1309.5,4433,510,1
37081014503,"F",1,1,1.8,1936.7,3523,543,NA
37081015100,"F",0,0,39,104.9,4097,418,NA
37081015200,"F",0,0,27.9,301.1,8412,732,NA
37081015300,"F",0,0,27.2,285.9,7791,725,NA
37081015401,"F",0,0,12.9,429.5,5527,459,0
37081015402,"F",0,0,14.2,508.7,7211,851,NA
37081015500,"F",0,0,9.9,620.3,6111,648,NA
37081015600,"F",1,1,40.6,229.7,9324,737,NA
37081015703,"F",0,0,2.3,2511.7,5863,481,NA
37081015704,"F",0,1,4.3,1445.7,6171,457,NA
37081015705,"F",1,1,1.6,2001.6,3158,234,NA
37081015706,"F",0,0,4.9,1076.2,5288,434,NA
37081015707,"F",0,1,1.9,3463.9,6612,589,NA
37081015800,"F",0,1,22.8,349.5,7984,615,NA
37081015901,"F",0,0,22.8,230.9,5270,464,NA
37081015902,"F",0,0,11.7,308.2,3611,268,NA
37081016003,"F",0,0,9.8,436.4,4294,323,NA
37081016005,"F",0,0,2.9,587.6,1721,133,NA
37081016006,"F",0,0,2.3,1349.7,3159,228,NA
37081016007,"F",1,1,1.8,2712,4933,351,NA
37081016008,"F",0,1,4.7,1494.6,7034,465,NA
37081016009,"F",1,1,2.9,1304.7,3743,311,NA
37081016010,"F",0,0,1.2,2239.4,2607,191,NA
37081016011,"F",0,0,5.1,1112,5627,400,NA
37081016101,"F",1,1,2.7,1894.8,5063,466,NA
37081016102,"F",1,1,1.3,3078.6,3930,287,NA
37081016103,"F",0,1,1.1,4587.7,5068,401,NA
37081016201,"F",0,0,18.6,287.6,5352,397,NA
37081016203,"F",0,0,9.3,431.1,4013,378,NA
37081016204,"F",0,0,6.6,455.6,2985,206,NA
37081016205,"F",0,0,2.1,1839.1,3903,274,NA
37081016303,"F",0,0,2.1,1550.3,3316,319,NA
37081016304,"F",0,0,2.3,1617.8,3758,275,NA
37081016305,"F",1,1,1.6,2174.9,3538,291,NA
37081016306,"F",0,1,2.4,1910,4500,342,NA
37081016405,"F",1,1,3.1,541.2,1691,151,NA
37081016406,"F",0,0,3,1115.8,3300,232,NA
37081016407,"F",0,0,2.5,1810.6,4577,339,NA
37081016408,"F",0,0,1.2,1630.4,1956,190,NA
37081016409,"F",1,1,2.7,919.3,2513,219,NA
37081016410,"F",0,1,3.3,1668.8,5520,525,NA
37081016502,"F",0,0,8.7,643.9,5598,538,NA
37081016503,"F",1,1,2.1,1806.9,3729,232,NA
37081016505,"F",0,1,1.3,3918.9,5072,335,NA
37081016506,"F",0,1,1.7,2869.3,4900,373,NA
37081016600,"F",0,0,14.4,173.4,2500,315,NA
37081016701,"F",0,0,11.2,456.5,5126,467,NA
37081016702,"F",0,0,15.3,230.1,3522,370,NA
37081016800,"F",0,0,13.1,503.9,6584,738,NA
37081016900,"F",0,0,26.6,176.8,4698,466,NA
37081017000,"F",0,0,47.7,94.6,4516,475,NA
37081017100,"F",0,0,15.4,473.5,7273,677,NA
37081017200,"F",0,0,40.1,172.4,6919,644,NA
37123960100,"G",0,0,57.1,112.6,6431,766,0
37123960200,"G",0,0,95.5,77.2,7370,767,NA
37123960300,"G",0,0,112.2,34.9,3914,447,0
37123960401,"G",1,1,30.5,69.9,2134,359,NA
37123960402,"G",0,0,69.7,33.1,2306,326,0
37123960500,"G",0,0,126.7,44.5,5643,864,0
37151030100,"H",1,1,3.8,1217.9,4597,580,NA
37151030201,"H",1,1,1.6,1968.9,3078,345,NA
37151030202,"H",0,0,7.2,708.8,5078,605,NA
37151030301,"H",1,1,4.9,1319.1,6501,735,NA
37151030302,"H",0,1,4.2,722.6,3041,527,NA
37151030400,"H",1,1,4.5,936.4,4193,546,NA
37151030502,"H",0,0,13.1,307.7,4019,459,NA
37151030503,"H",0,0,41.7,140.3,5855,574,NA
37151030504,"H",0,0,53.7,109.7,5893,590,NA
37151030600,"H",0,0,32.5,196.8,6387,748,0
37151030700,"H",0,0,140.4,42.8,6011,620,NA
37151030801,"H",0,0,36.3,197.1,7148,751,NA
37151030802,"H",0,0,77.6,81.1,6290,667,0
37151030900,"H",0,0,84.4,43.7,3686,476,NA
37151031000,"H",0,0,57.1,125.3,7151,937,NA
37151031100,"H",0,0,37.2,156.5,5823,763,NA
37151031200,"H",1,1,34.9,152.9,5336,753,NA
37151031303,"H",0,0,9.3,455.9,4226,453,NA
37151031304,"H",0,0,24.2,194.1,4701,555,NA
37151031305,"H",0,0,15.3,267.9,4090,487,NA
37151031306,"H",0,0,41.7,164.3,6845,644,NA
37151031400,"H",1,1,13.8,610.9,8452,837,NA
37151031501,"H",0,0,15.3,398,6079,627,NA
37151031503,"H",0,0,1.4,2173.2,3011,332,0
37151031504,"H",1,1,4.5,1168.9,5234,519,1
37151031505,"H",0,0,11.8,306.2,3618,380,NA
37151031601,"H",0,0,9.4,413.7,3905,508,NA
37151031602,"H",0,1,1,1514.8,1504,205,NA
37157040101,"I",0,0,49.7,82.4,4097,521,NA
37157040102,"I",0,0,38.3,73.7,2823,314,NA
37157040200,"I",0,0,15.6,252.5,3949,530,NA
37157040300,"I",1,1,5.8,642.3,3712,476,NA
37157040400,"I",1,1,8.3,768.1,6361,923,1
37157040501,"I",0,0,9.6,383.1,3659,582,NA
37157040502,"I",0,0,3.7,784,2876,380,NA
37157040601,"I",0,0,40.4,95.8,3872,469,NA
37157040602,"I",0,0,34.4,138.9,4784,555,0
37157040700,"I",0,0,41.7,108.4,4524,561,NA
37157040800,"I",0,0,2.8,590.8,1666,244,0
37157040900,"I",1,1,4.9,527.3,2587,360,NA
37157041001,"I",0,0,41.3,147.9,6103,623,NA
37157041002,"I",0,0,60.2,97.9,5894,684,NA
37157041100,"I",0,0,50.8,131.2,6657,786,NA
37157041200,"I",1,1,6.7,793,5282,893,NA
37157041300,"I",0,0,59.8,112.7,6737,1051,NA
37157041400,"I",1,1,7.3,412.5,2991,467,NA
37157041500,"I",0,1,10,696.3,6942,917,NA
37157041601,"I",0,0,30,117.1,3513,380,NA
37157041602,"I",0,0,44.4,103.9,4614,490,0
37169070100,"J",0,0,108.8,61.8,6720,713,0
37169070200,"J",0,0,74.9,48.9,3660,399,NA
37169070300,"J",0,0,91.5,51.7,4732,573,0
37169070400,"J",0,0,40.8,130.7,5337,609,0
37169070501,"J",0,0,12,574.3,6884,813,NA
37169070503,"J",0,1,10.7,546.6,5850,539,NA
37169070504,"J",0,0,15.4,220.8,3394,340,NA
37169070600,"J",0,0,52.5,98,5143,535,NA
37169070700,"J",1,1,42.3,134.4,5681,796,1
37171930101,"K",0,0,21.2,98.8,2093,243,NA
37171930102,"K",0,0,37,129.2,4783,551,NA
37171930201,"K",0,0,14.6,242.7,3543,443,NA
37171930202,"K",1,1,11.7,285.2,3332,467,NA
37171930301,"K",0,0,6.1,334.9,2042,256,NA
37171930302,"K",1,1,2.3,1559.1,3630,454,NA
37171930400,"K",1,1,1.4,1827.1,2576,418,1
37171930501,"K",0,0,6.9,421.5,2891,295,NA
37171930502,"K",1,1,5.7,580.8,3338,508,NA
37171930600,"K",0,0,15.8,221.1,3496,389,NA
37171930700,"K",0,0,28,155.8,4355,488,0
37171930801,"K",0,0,91.8,56.7,5201,625,NA
37171930802,"K",0,0,54.2,58.6,3176,401,NA
37171930901,"K",1,1,8.6,520.5,4467,590,1
37171930902,"K",0,0,16.7,95.9,1605,169,NA
37171931001,"K",0,0,20.4,124.4,2540,272,0
37171931002,"K",1,1,33.3,156.8,5216,574,NA
37171931003,"K",0,0,31.9,101.5,3234,421,NA
37171931101,"K",0,0,23.3,123.3,2870,345,NA
37171931102,"K",0,0,53.8,69.3,3728,399,NA
37171931103,"K",0,0,25.4,72.8,1846,220,NA
37171931200,"K",1,1,22.2,167.4,3711,405,NA
37197050101,"L",0,0,56.3,99.5,5600,616,0
37197050102,"L",0,0,45.6,89.1,4066,460,NA
37197050200,"L",0,0,43.9,103.2,4528,548,NA
37197050300,"L",0,0,37.4,159.5,5964,806,0
37197050400,"L",0,0,69.8,96.3,6729,801,0
37197050501,"L",1,1,37,192.6,7130,799,1
37197050502,"L",0,0,44.8,97.9,4389,492,NA
